Oportunidade: Nº da Oportunidade;Empresa;Data de criação;Data de envio proposta;Data de Fechada e Ganha;Data da última modificação;Valor;Fase Comercial;Nome de Nova Venda;Finalidade;Origem;Departamento(s) da oportunidade;Motivo Perdido;Tipo de venda;ERP;Forma de Pagamento;Observações;SKU;Quantidade de itens da cotação;Vendedor
874142;1;19/10/2021;;19/10/2021;19/10/2021;1975,84;Projeto em andamento;NV - 0013762;Revenda;;AUDIO;;Cotação;;Cartão de Crédito;Fone de Ouvido Philco PFO01BTG Bluetooth com até 10 horas de bateria - Bege;1432382049;16;A
874142;1;19/10/2021;;19/10/2021;19/10/2021;1082,94;Projeto em andamento;NV - 0013764;Revenda;;AUDIO;;Cotação;;Cartão de Crédito;Fone de Ouvido Bluetooth Philips TAT1235 com Microfone à Prova d'água e suor PIX5 Energia para 18 horas totais - Preto;2933926753;6;A
865778;2;24/09/2021;;28/09/2021;29/09/2021;12509,91;Projeto em andamento;NV - 0013049;Revenda;;ELETRONICOS (TVs);;Cotação;;Cartão de Crédito;Smart TV LED 32'' Samsung Tizen HD 32T4300 2020 - WIFI, HDR para Brilho e Contraste com Plataforma Tizen 2 HDMI 1 USB - Preta;1618074634;9;B
874143;3;19/10/2021;;;20/10/2021;13299,93;Congelada;NV - 0013763;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Boleto;Smart TV LED 43'' Full HD Philco PTV43E10N5SF Processador Quad Core Wi-Fi 2 HDMI 1 USB e Mídiacast;2680750728;7;A
953092;4;11/04/2022;;;04/05/2022;550;Congelada;NV - 0021549;;;UTILIDADES DOMESTICAS;;Cotação;;;;0;;B
857726;5;25/08/2021;;;13/09/2021;16709,55;Congelada;NV - 0012193;Uso e consumo;;TABLETS;;Cotação;;Boleto;"Tablet Samsung Galaxy A7 64GB Wi-Fi Tela 10.4"" Octa-Core 2.0GHz - Grafite";2098828294;11;B
839221;6;05/07/2021;;;27/07/2021;24625,36;Congelada;NV - 0010823;;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;Boleto;"Quant. 2 | Cód. 2534443914 | MacBook Pro 13"" Apple M1 (8GB 256GB SSD) Prateado";;2;B
823706;7;21/05/2021;;;27/05/2021;11198;Congelada;NV - 0009977;;;MÓVEIS - SALA DE ESTAR, SALA DE JANTAR E BAR;;Cotação;;Boleto;Quant. 5 | Cód. 1217447031 | Kit 8 Poltronas para Consultório Sala de Recepção sala de Espera courino - preto;;5;C
857708;8;25/08/2021;;19/08/2021;09/09/2021;1399,86;Projeto em andamento;NV - 0012190;;;BELEZA & SAUDE;;Cotação;;Boleto;Aparador De Pelos Multigroom com 6 Acessórios MG3712 - Philips;132627411;14;A
857708;8;25/08/2021;;19/08/2021;09/09/2021;997,4;Projeto em andamento;NV - 0012191;;;BELEZA & SAUDE;;Cotação;;Boleto;Torradeira Btr01p;217677979;8;A
