oportunidade;empresa;data_criacao;data_envio_proposta;data_fechada;data_ultima_modificacao;valor;fase_comercial;nova_venda;finalidade;origem;departamento;motivo_perdido;tipo_venda;erp;pagamento;produto;sku;quantidade;vendedor
953092;Empresa 4;11/04/2022;;;04/05/2022;550;Congelada;NV - 0021549;;;UTILIDADES DOMESTICAS;;Cotação;;;;0;;Vendedor B
941576;Empresa 11;16/03/2022;;;24/03/2022;31599.6;Congelada;NV - 0020532;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;Faturado;Descrição do produto Valor do produto Quantidade Valor do frete DIFAL PRAZO Valor total CNPJ de FaturamentMonitor Lg 19,5'' Led Hd - Hdmi, 2ms, Ajuste De  Inclinacao, Reader Mode, 4-;1961678718;40;Vendedor E
941562;Empresa 12;16/03/2022;;;13/04/2022;3450;Congelada;NV - 0020529;Uso e consumo;;LIVROS;;Cotação;;Faturado;;0;;Vendedor F
941563;Empresa 13;16/03/2022;;;22/09/2022;3600;Congelada;NV - 0020530;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A12 64GB 4G Wi-Fi Tela 6.5'' Dual Chip 4GB RAM Câmera Quádrupla + Selfie 8MP - Branco;2655734451;3;Vendedor E
921989;Empresa 14;24/01/2022;;;08/02/2022;20399.94;Congelada;NV - 0018242;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;"Samsung Smart Tv 58"" Uhd 4k 58au7700, Processador Crystal 4k, Tela Sem...";3069544823;6;Vendedor B
941783;Empresa 16;16/03/2022;;;24/03/2022;20042;Congelada;NV - 0020556;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Diversos;0;100;Vendedor E
950424;Empresa 20;04/04/2022;;;06/04/2022;44970;Congelada;NV - 0021308;Uso e consumo;;TELEFONIA;;Cotação;;;Smartphone Samsung Galaxy A32 128GB 4G Wi-Fi Tela 6.4'' Dual Chip 4GB ...;2969966925;30;Vendedor B
947683;Empresa 21;28/03/2022;;;19/04/2022;32000;Congelada;NV - 0021035;Uso e consumo;;TABLETS;;Cotação;;;;0;;Vendedor E
938195;Empresa 22;08/03/2022;;;15/03/2022;96000;Congelada;NV - 0020248;Uso e consumo;;PCS;;Cotação;;Boleto;"Notebook Lenovo Ultrafino Ideapad 3 AMD Ryzen 5 8GB 256GB SSD Linux 15.6"" Prata";4200685104;30;Vendedor E
950432;Empresa 24;04/04/2022;;;29/04/2022;11599.96;Congelada;NV - 0021312;Uso e consumo;;ELETRONICOS (TVs);;Cotação;;;;0;;Vendedor B
964594;Empresa 4;07/06/2022;;;10/06/2022;139900;Fechada e Perdida;NV - 0023800;Uso e consumo;;TABLETS;Cliente - Não informado / sem retorno;Cotação;;;"Tablet Samsung Galaxy A8 64GB Wi-Fi 4G Tela 10.5"" Android Octa-Core - Cinza";4638018605;100;Vendedor E
947692;Empresa 4;28/03/2022;;;29/03/2022;522.49;Congelada;NV - 0021040;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;Cartão 64gb Sdxc Classe 10 Uhs-i U3 Até 95mb/s Leitura E 80mb/s Gravação - Transcend;0;2;Vendedor E
947710;Empresa 29;28/03/2022;;;01/04/2022;12000;Congelada;NV - 0021044;Uso e consumo;;CLIMATIZAÇÃO;;Cotação;;;;0;;Vendedor E
936617;Empresa 30;22/02/2022;;;24/03/2022;3000;Congelada;NV - 0019985;Uso e consumo;;ELETROPORTÁTEIS;;Cotação;;Faturado;diversos;0;1;Vendedor F
947716;Empresa 32;28/03/2022;;;19/04/2022;3970.99;Congelada;NV - 0021045;Uso e consumo;;TELEFONIA;;Cotação;;;;1611318026;;Vendedor E
953014;Empresa 41;11/04/2022;;;04/05/2022;8750;Congelada;NV - 0021534;Uso e consumo;;ALIMENTOS;;Cotação;;;125 ovos de pascoa;0;;Vendedor B
922199;Empresa 47;24/01/2022;;;25/01/2022;626.99;Congelada;NV - 0018263;Uso e consumo;;ELETRODOMESTICOS;;Cotação;;Faturado;Micro Ondas Panasonic NN-ST55LMRUN 27L Prata;3032359051;1;Vendedor E
941691;Empresa 48;16/03/2022;;;21/03/2022;17700;Congelada;NV - 0020546;Uso e consumo;;ALIMENTOS;;Cotação;;Faturado;ovos de páscoa;0;;Vendedor E
922205;Empresa 52;24/01/2022;;;31/01/2022;2995;Congelada;NV - 0018268;Uso e consumo;;TELEFONIA;;Cotação;;Faturado;Smartphone Samsung Galaxy A03 Core 32GB 4G Wi-Fi Tela 6.5'' Dual Chip 2GB RAM Câmera 8MP + Selfie 5MP - Preto;4342102701;5;Vendedor E
953070;Empresa 55;11/04/2022;;;12/04/2022;80270;Congelada;NV - 0021543;;;AUDIO;;Cotação;;;;0;;Vendedor B
922204;Empresa 56;24/01/2022;;;31/01/2022;7261.56;Congelada;NV - 0018267;Uso e consumo;;PCS;;Cotação;;Faturado;Notebook Dell Inspiron I13-7391-A30S 10ª Intel Core I7 8GB (Geforce MX250 com 2GB) 512GB SSD W10 13,3'' Prata;1237560954;1;Vendedor E
956795;Empresa 63;22/04/2022;;;29/04/2022;6500;Congelada;NV - 0021999;Uso e consumo;;INFORMÁTICA E ACESSÓRIOS;;Cotação;;;;0;;Vendedor F
